url|method|data|requests_nums|concurrent_num|online_status|username|password|remark|response_data|response_time|response_code
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '优惠券领取中，请勿频繁操作'}|9|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': True, 'msg': '领取优惠券成功!'}|56|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|13|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|15|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|13|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|14|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|13|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|11|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|10|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|11|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|11|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|11|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|15|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|12|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|15|200
/coupon/get/0000000201702004|get||100|2|1|aaaa|123456.0|l领取优惠券|{'success': False, 'msg': '您已经领取过该优惠券了!'}|13|200
